order_id,customer_id,product_id,quantity,order_date,amount,status
O2051,C0076,P009,4,05/06/2023,752.24,delivered
O2052,C0131,P013,1,19-Feb-2023,598.23,Pending
O2053,C0013,P035,5,21-Jun-2023,135.41,shipped
O2054,C0193,P046,5,04/10/2023,,Pending
O2055,C0108,P031,3,07-Mar-2023,208.55,Pending
O2056,C0153,P005,2,2023-02-13,136.6,Cancelled
O2057,C0108,P026,3,04-Apr-2023,771.05,Cancelled
O2058,C0150,P044,3,2023-03-17,,delivered
O2059,C0161,P039,3,03-Feb-2023,437.59,SHIPPED
O2060,C0070,P003,1,06/23/2023,346.47,delivered
O2061,C0075,P015,5,16-Jun-2023,693.42,pending
O2062,C0108,P004,3,06/17/2023,588.63,pending
O2063,C0171,P017,1,02/19/2023,393.58,Cancelled
O2064,C0069,P007,4,28-May-2023,671.56,pending
O2065,C0011,P039,1,19-Mar-2023,102.8,Cancelled
O2066,C0155,P027,1,28-May-2023,632.63,Shipped
O2067,C0103,P041,1,03/04/2023,152.78,pending
O2068,C0008,P047,3,02/09/2023,281.8,delivered
O2069,C0013,P021,3,05/21/2023,136.87,Cancelled
O2070,C0103,P049,4,2023-06-26,273.67,SHIPPED
O2071,C0079,P007,4,04/07/2023,402.78,delivered
O2072,C0182,P032,3,07-Jan-2023,767.85,SHIPPED
O2073,C0130,P045,5,2023-02-03,324.4,Cancelled
O2074,C0154,P043,3,28-Jan-2023,323.44,delivered
O2075,C0076,P040,2,2023-06-09,42.21,pending
O2076,C0058,P045,2,2023-03-08,,delivered
O2077,C0157,P031,5,05/19/2023,161.87,Cancelled
O2078,C0148,P025,3,11-Feb-2023,218.21,SHIPPED
O2079,C0020,P045,2,05/23/2023,,Pending
O2080,C0081,P007,3,02/15/2023,519.52,Pending
O2081,C0014,P030,4,18-Apr-2023,,Shipped
O2082,C0089,P031,3,01-Jun-2023,577.91,Pending
O2083,C0126,P028,4,06/10/2023,367.17,shipped
O2084,C0146,P033,5,02-May-2023,473.63,delivered
O2085,C0092,P038,5,08-Feb-2023,336.83,delivered
O2086,C0195,P999,4,19-Apr-2023,,Cancelled
O2087,C0100,P027,3,04/09/2023,255.84,Shipped
O2088,C0048,P017,1,2023-01-20,603.93,Pending
O2089,C0016,P044,5,05/19/2023,268.22,delivered
O2090,C0018,P012,2,05-Jun-2023,,SHIPPED
O2091,C0147,P012,2,02-May-2023,653.35,delivered
O2092,C0031,P020,2,2023-02-20,,Pending
O2093,C0087,P030,4,2023-01-11,755.77,SHIPPED
O2094,C0037,P016,4,26-Apr-2023,56.31,Cancelled
O2095,C0194,P038,3,13-May-2023,454.77,Cancelled
O2096,C0052,P019,2,04/03/2023,504.81,Shipped
O2097,C0126,P007,4,2023-06-23,793.91,Pending
O2098,C0011,P013,5,2023-03-24,461.31,Pending
O2099,C0008,P004,3,24-Apr-2023,51.42,Pending
O2100,C0046,P033,2,2023-06-11,760.47,Cancelled
O2101,C0053,P032,1,2023-01-10,311.38,shipped
O2102,C0169,P022,2,2023-02-20,,Pending
O2103,C0172,P017,5,06/24/2023,722.65,pending
O2104,C0177,P001,3,2023-03-20,159.7,Cancelled
O2105,C0178,P026,2,01/06/2023,186.15,Shipped
O2106,C0047,P035,3,03/18/2023,574.87,SHIPPED
O2107,C0146,P017,2,2023-02-17,448.25,pending
O2108,C0123,P007,4,14-Feb-2023,612.41,SHIPPED
O2109,C0113,P048,1,02/24/2023,407.86,Shipped
O2110,C0146,P001,3,06/02/2023,286.59,pending
O2111,C0040,P019,2,2023-04-03,,Pending
O2112,C0136,P019,3,01-May-2023,550.96,Cancelled
O2113,C0044,P047,2,2023-01-19,,delivered
O2114,C0100,P050,1,19-Apr-2023,68.4,pending
O2115,C0073,P044,2,06/15/2023,493.96,shipped
O2116,C0117,P035,3,03/06/2023,147.74,Cancelled
O2117,C0006,P028,4,05-Apr-2023,705.05,SHIPPED
O2118,C0054,P026,4,03/22/2023,316.87,shipped
O2119,C0186,P034,2,05/12/2023,758.92,Pending
O2120,C0196,P027,-1,27-Mar-2023,95.83,pending
O2121,C0014,P013,2,01-Apr-2023,750.33,shipped
O2122,C0099,P037,5,02/05/2023,516.58,SHIPPED
O2123,C0120,P016,4,2023-06-21,747.09,Cancelled
O2124,C0025,P999,1,07-Mar-2023,81.06,shipped
O2125,C0055,P020,3,06/06/2023,664.32,SHIPPED
O2126,C0026,P036,2,18-Feb-2023,430.52,Cancelled
O2127,C0121,P045,2,2023-04-04,,shipped
O2128,C0098,P031,1,19-Apr-2023,790.34,shipped
O2129,C0115,P002,5,2023-03-03,,shipped
O2130,C0160,P020,1,06/11/2023,634.86,Cancelled
O2131,C0022,P023,1,03/28/2023,476.35,shipped
O2132,C0132,P018,1,02/23/2023,,SHIPPED
O2133,C0115,P028,4,01-May-2023,,Pending
O2134,C0005,P020,4,04/11/2023,559.28,delivered
O2135,C0132,P028,3,03/03/2023,446.38,Cancelled
O2136,C0022,P043,1,2023-02-03,111.54,SHIPPED
O2137,C0017,P010,1,28-Mar-2023,,Shipped
O2138,C0040,P038,4,2023-05-04,271.41,Cancelled
O2139,C0036,P013,2,2023-06-08,,Shipped
O2140,C0184,P006,2,2023-05-23,165.87,pending
O2141,C0074,P047,1,2023-02-09,,Pending
O2142,C0148,P013,1,02/06/2023,680.41,Cancelled
O2143,C0152,P019,3,2023-02-17,208.25,Cancelled
O2144,C0175,P017,1,05/25/2023,281.94,Shipped
O2145,C0173,P049,1,22-Jun-2023,619.4,Cancelled
O2146,C0017,P037,4,03/25/2023,650.66,SHIPPED
O2147,C0140,P048,1,03/26/2023,333.69,pending
O2148,C0119,P029,4,13-Mar-2023,,shipped
O2149,C9999,P024,2,01/13/2023,757.37,shipped
O2150,C0070,P022,2,02/07/2023,764.6,Pending
O2151,C0186,P032,2,01/03/2023,535.97,Cancelled
O2152,C0123,P039,4,2023-03-21,,SHIPPED
O2153,C0162,P020,1,26-Mar-2023,428.41,delivered
O2154,C0033,P024,1,2023-03-23,339.43,delivered
O2155,C0081,P041,3,02/05/2023,466.0,delivered
O2156,C0162,P037,5,2023-05-16,652.52,SHIPPED
O2157,C0131,P007,3,2023-06-09,397.84,pending
O2158,C0100,P050,2,2023-02-21,624.43,SHIPPED
O2159,C0092,P040,3,07-May-2023,392.91,shipped
O2160,C0153,P039,2,14-Apr-2023,408.26,delivered
O2161,C0003,P020,1,2023-03-15,518.75,pending
O2162,C0161,P025,0,06/20/2023,226.11,SHIPPED
O2163,C0042,P038,1,11-Feb-2023,267.97,pending
O2164,C0141,P002,4,06/10/2023,494.33,Pending
O2165,C9999,P037,2,2023-01-17,,Cancelled
O2166,C0061,P006,3,2023-04-18,,Pending
O2167,C0107,P042,5,01/25/2023,653.35,shipped
O2168,C0062,P004,1,2023-01-08,560.86,shipped
O2169,C0036,P033,4,23-Jun-2023,614.77,pending
O2170,C0141,P005,2,01/19/2023,398.26,Pending
O2171,C0043,P026,5,2023-02-27,449.45,delivered
O2172,C0156,P017,3,20-Apr-2023,523.87,Cancelled
O2173,C0132,P050,1,07-Feb-2023,94.32,Cancelled
O2174,C0192,P020,5,08-Jun-2023,,delivered
O2175,C0065,P014,2,13-Jun-2023,689.68,SHIPPED
O2176,C0118,P026,4,2023-06-28,481.42,Shipped
O2177,C0158,P007,5,01/10/2023,18.86,pending
O2178,C0187,P037,3,03/03/2023,160.72,pending
O2179,C0168,P002,1,04-Feb-2023,217.55,Cancelled
O2180,C0175,P002,2,23-May-2023,78.02,SHIPPED
O2181,C0070,P002,2,01/16/2023,324.06,delivered
O2182,C0120,P999,1,10-Jun-2023,767.95,pending
O2183,C9999,P018,2,02-Jun-2023,,delivered
O2184,C0112,P036,2,01/20/2023,596.6,pending
O2185,C0121,P035,3,06/12/2023,437.21,shipped
O2186,C0149,P026,-1,06/18/2023,541.4,SHIPPED
O2187,C0111,P006,3,28-May-2023,519.92,shipped
O2188,C0011,P022,2,28-Feb-2023,436.77,shipped
O2189,C0053,P045,1,05/01/2023,439.76,Pending
O2190,C0171,P011,3,03/18/2023,267.13,Pending
O2191,C0169,P026,4,2023-06-15,790.48,delivered
O2192,C0178,P999,5,2023-06-10,401.21,delivered
O2193,C0104,P020,1,2023-03-04,,shipped
O2194,C0199,P044,1,06/20/2023,292.44,SHIPPED
O2195,C0100,P024,5,2023-06-16,511.82,pending
O2196,C9999,P023,4,05/20/2023,618.13,Cancelled
O2197,C0126,P002,1,27-Jun-2023,,Cancelled
O2198,C0025,P030,5,06/28/2023,37.13,shipped
O2199,C0158,P027,5,03-Apr-2023,626.86,shipped
O2200,C0119,P018,5,06/17/2023,48.48,shipped
O2201,C0116,P019,5,01/07/2023,96.64,pending
O2202,C0064,P001,2,28-Mar-2023,44.66,Pending
O2203,C0127,P015,0,2023-05-19,119.97,pending
O2204,C0128,P024,5,2023-04-16,300.95,SHIPPED
O2205,C0112,P036,1,2023-04-17,759.44,shipped
O2206,C0031,P002,2,2023-03-16,797.25,delivered
O2207,C0169,P012,1,2023-06-13,,SHIPPED
O2208,C0016,P033,3,2023-02-11,17.0,delivered
O2209,C0123,P014,4,2023-06-18,146.21,shipped
O2210,C0171,P009,1,08-Feb-2023,,delivered
O2211,C0106,P041,3,03/25/2023,,Shipped
O2212,C0050,P043,4,16-Feb-2023,694.88,delivered
O2213,C0131,P027,2,14-Jan-2023,421.79,Shipped
O2214,C0107,P005,2,15-Mar-2023,41.56,delivered
O2215,C0088,P020,3,19-Jun-2023,381.23,Pending
O2216,C0175,P039,2,18-Mar-2023,81.88,Pending
O2217,C0162,P005,3,08-Mar-2023,479.6,shipped
O2218,C0090,P020,4,25-Feb-2023,482.23,delivered
O2219,C0036,P050,3,19-Apr-2023,446.79,shipped
O2220,C0031,P047,2,02/21/2023,634.06,SHIPPED
O2221,C0063,P026,5,2023-01-09,279.71,pending
O2222,C9999,P026,3,05/27/2023,369.26,Pending
O2223,C0146,P027,4,04/13/2023,,Shipped
O2224,C0036,P012,1,2023-05-09,,delivered
O2225,C0025,P048,5,06/09/2023,98.03,pending
O2226,C0062,P015,3,18-Jan-2023,289.31,SHIPPED
O2227,C0196,P015,4,19-Jan-2023,496.87,Pending
O2228,C0070,P032,4,02/08/2023,373.01,Shipped
O2229,C0001,P016,5,14-Jan-2023,362.47,pending
O2230,C0114,P010,5,02/22/2023,28.19,pending
O2231,C0135,P022,5,2023-02-23,359.33,Pending
O2232,C0179,P044,2,2023-06-10,289.08,pending
O2233,C0154,P031,5,13-Jan-2023,561.09,SHIPPED
O2234,C9999,P025,4,02/09/2023,80.67,SHIPPED
O2235,C0123,P011,5,2023-04-12,650.01,delivered
O2236,C0059,P006,5,2023-03-15,,SHIPPED
O2237,C0037,P028,2,2023-01-20,,Pending
O2238,C0168,P048,4,20-Feb-2023,196.63,Shipped
O2239,C0018,P050,2,2023-03-24,625.46,shipped
O2240,C0137,P999,2,05/02/2023,,shipped
O2241,C0043,P004,2,2023-03-15,669.08,pending
O2242,C0045,P046,5,01/10/2023,62.99,Pending
O2243,C0126,P044,4,12-May-2023,378.63,Pending
O2244,C0184,P048,4,2023-01-07,,Pending
O2245,C0095,P020,4,2023-02-25,305.16,shipped
O2246,C0112,P050,5,2023-03-13,601.89,shipped
O2247,C0005,P015,4,04/05/2023,377.51,Shipped
O2248,C0063,P010,3,06/28/2023,286.94,Shipped
O2249,C0154,P019,4,01/12/2023,785.27,shipped
O2250,C0080,P033,2,07-May-2023,,Pending
O2251,C0096,P002,5,26-Jan-2023,501.2,Pending
O2252,C0032,P029,5,2023-05-17,625.65,shipped
O2253,C0097,P022,-1,05/13/2023,612.07,pending
O2254,C0057,P999,2,14-Feb-2023,459.74,Pending
O2255,C9999,P014,1,06-Apr-2023,,pending
O2256,C0030,P006,3,19-Mar-2023,783.77,Pending
O2257,C0190,P022,2,09-Jun-2023,669.93,delivered
O2258,C0063,P015,3,2023-06-13,411.98,Pending
O2259,C0077,P017,2,2023-04-05,182.97,Cancelled
O2260,C0139,P033,4,16-May-2023,246.28,Shipped
O2261,C0199,P021,4,01/11/2023,131.7,Shipped
O2262,C0079,P016,4,08-Mar-2023,330.2,delivered
O2263,C0043,P022,4,2023-06-01,,Pending
O2264,C0110,P032,2,02/10/2023,11.65,Cancelled
O2265,C0176,P045,1,2023-05-03,,Pending
O2266,C0001,P013,0,03-May-2023,478.76,SHIPPED
O2267,C0036,P005,2,08-May-2023,,SHIPPED
O2268,C0009,P026,4,21-Mar-2023,293.41,delivered
O2269,C0103,P027,3,2023-06-05,176.33,Shipped
O2270,C0016,P038,0,03/23/2023,580.99,Pending
O2271,C0062,P046,5,2023-04-21,249.01,SHIPPED
O2272,C0041,P026,1,15-Apr-2023,644.87,pending
O2273,C0182,P021,4,2023-06-06,766.87,delivered
O2274,C0043,P017,-1,05/16/2023,708.53,shipped
O2275,C0185,P012,3,01/04/2023,642.16,delivered
O2276,C0129,P013,5,20-May-2023,318.65,shipped
O2277,C0112,P050,4,04/02/2023,476.87,SHIPPED
O2278,C0005,P027,1,2023-05-19,703.81,SHIPPED
O2279,C0152,P015,1,2023-04-09,538.06,Pending
O2280,C0059,P003,2,18-Mar-2023,349.71,pending
O2281,C0005,P033,3,07-May-2023,534.02,Cancelled
O2282,C0142,P019,4,01-Feb-2023,269.58,pending
O2283,C0021,P022,1,02/22/2023,745.55,Cancelled
O2284,C0066,P027,2,23-May-2023,614.42,Cancelled
O2285,C0018,P005,1,2023-03-06,62.13,delivered
O2286,C0116,P022,5,2023-03-26,106.46,SHIPPED
O2287,C0024,P023,5,2023-05-26,583.0,Shipped
O2288,C0042,P010,5,03/01/2023,792.98,delivered
O2289,C0100,P049,4,24-May-2023,160.21,Shipped
O2290,C0191,P015,4,2023-03-07,371.7,Shipped
O2291,C9999,P013,3,03/28/2023,338.27,Shipped
O2292,C0035,P007,1,05/24/2023,384.01,Shipped
O2293,C0160,P003,2,01/02/2023,659.51,Cancelled
O2294,C0036,P045,2,2023-05-12,681.29,pending
O2295,C0079,P999,3,20-May-2023,572.32,delivered
O2296,C0026,P024,3,2023-05-26,107.74,shipped
O2297,C0013,P018,5,28-May-2023,72.93,Pending
O2298,C0077,P036,4,03-Apr-2023,42.18,SHIPPED
O2299,C0069,P048,5,13-Mar-2023,,Shipped
O2300,C0068,P011,2,2023-05-23,143.02,Cancelled
O2301,C0005,P031,2,2023-02-14,659.52,Cancelled
O2302,C0134,P018,2,05/22/2023,197.95,shipped
O2303,C0136,P019,5,2023-05-28,466.88,Cancelled
O2304,C0108,P017,1,2023-02-19,161.02,delivered
O2305,C0165,P038,2,2023-01-24,192.38,Cancelled
O2306,C0102,P009,1,06/01/2023,524.96,Shipped
O2307,C0088,P014,1,17-Jun-2023,266.84,SHIPPED
O2308,C0114,P043,2,06/08/2023,158.52,pending
O2309,C0071,P999,4,15-Jun-2023,627.3,SHIPPED
O2310,C0053,P027,3,03-May-2023,,pending
O2311,C0090,P020,3,04/08/2023,771.17,shipped
O2312,C0005,P050,2,02/04/2023,445.88,Cancelled
O2313,C0095,P034,5,2023-05-04,,SHIPPED
O2314,C0065,P016,5,02/21/2023,463.79,Pending
O2315,C0001,P010,5,04-Feb-2023,279.62,SHIPPED
O2316,C0185,P049,3,19-May-2023,506.79,SHIPPED
O2317,C0025,P025,2,02/18/2023,687.66,pending
O2318,C0059,P999,0,01/07/2023,717.78,pending
O2319,C0137,P048,5,2023-02-12,117.22,Shipped
O2320,C0066,P001,3,2023-01-11,712.94,Pending
O2321,C0031,P006,5,04/23/2023,751.23,Pending
O2322,C0043,P043,4,2023-03-04,180.92,Pending
O2323,C0150,P015,4,2023-05-23,748.38,Shipped
O2324,C0190,P007,3,2023-01-24,659.63,shipped
O2325,C0054,P013,4,06/07/2023,,Cancelled
O2326,C0194,P049,2,2023-04-01,668.56,SHIPPED
O2327,C0009,P035,0,2023-02-14,613.89,pending
O2328,C0059,P045,5,05/19/2023,708.22,pending
O2329,C0041,P039,4,03/11/2023,492.65,Pending
O2330,C0055,P047,2,28-Jan-2023,306.67,Shipped
O2331,C0178,P009,5,19-Jun-2023,99.4,Cancelled
O2332,C0035,P004,2,2023-05-18,,shipped
O2333,C0138,P036,1,02/02/2023,,pending
O2334,C0053,P009,1,21-Jun-2023,,Shipped
O2335,C0189,P049,3,2023-01-25,,delivered
O2336,C9999,P045,1,2023-06-19,140.29,Shipped
O2337,C0177,P013,4,24-Jun-2023,435.83,Shipped
O2338,C0185,P010,1,2023-03-09,408.18,Shipped
O2339,C0140,P010,4,02/06/2023,422.56,Pending
O2340,C0160,P003,5,01/22/2023,30.74,shipped
O2341,C0097,P023,5,01/08/2023,128.47,shipped
O2342,C0069,P033,1,2023-04-24,659.05,Pending
O2343,C0183,P003,2,04/20/2023,485.66,delivered
O2344,C0005,P050,5,01/04/2023,60.97,SHIPPED
O2345,C0136,P008,1,06-Jun-2023,589.3,pending
O2346,C0128,P016,2,2023-02-22,60.69,shipped
O2347,C0179,P026,2,03/14/2023,519.7,shipped
O2348,C0006,P016,2,02/04/2023,582.93,delivered
O2349,C0065,P006,4,03/25/2023,785.94,delivered
O2350,C0075,P003,3,01-Jun-2023,549.71,Shipped
O2351,C0121,P025,3,2023-01-25,768.38,Cancelled
O2352,C0028,P024,5,15-Feb-2023,786.02,delivered
O2353,C0179,P004,3,2023-02-07,55.44,shipped
O2354,C0196,P023,5,2023-02-26,570.01,delivered
O2355,C0027,P006,5,2023-01-20,,shipped
O2356,C0152,P006,-1,2023-01-14,518.78,Cancelled
O2357,C0020,P006,5,15-Jan-2023,769.74,delivered
O2358,C0105,P050,1,2023-01-19,156.01,SHIPPED
O2359,C0200,P027,5,16-Mar-2023,20.36,Cancelled
O2360,C0128,P017,0,20-Jan-2023,582.57,shipped
O2361,C0101,P024,1,21-May-2023,486.92,SHIPPED
O2362,C0028,P035,5,2023-04-07,672.07,delivered
O2363,C0186,P011,-1,2023-03-14,199.71,Shipped
O2364,C0066,P003,-1,01/27/2023,433.52,Cancelled
O2365,C0006,P050,4,2023-05-23,773.37,Shipped
O2366,C0192,P009,1,02/12/2023,,pending
O2367,C0156,P006,4,2023-06-07,369.95,shipped
O2368,C0197,P014,1,05/04/2023,412.17,Cancelled
O2369,C0125,P028,2,2023-03-24,787.3,Shipped
O2370,C0062,P999,5,16-Feb-2023,626.39,Pending
O2371,C0189,P034,2,01/22/2023,,pending
O2372,C9999,P045,5,10-Mar-2023,455.92,shipped
O2373,C0005,P046,5,20-May-2023,328.26,pending
O2374,C0197,P040,3,24-Jun-2023,516.98,Cancelled
O2375,C0195,P030,2,2023-05-08,299.28,SHIPPED
O2376,C0145,P007,3,2023-02-07,635.92,shipped
O2377,C0200,P015,4,20-Apr-2023,452.28,Shipped
O2378,C0143,P031,4,06-Apr-2023,,shipped
O2379,C0080,P036,5,2023-03-21,267.36,Pending
O2380,C0036,P043,3,2023-06-04,718.83,Cancelled
O2381,C0145,P999,2,14-Feb-2023,612.85,SHIPPED
O2382,C0024,P036,4,05/16/2023,739.53,Shipped
O2383,C0173,P044,5,2023-01-09,276.11,delivered
O2384,C0069,P026,3,2023-01-27,224.8,pending
O2385,C9999,P015,5,2023-01-02,318.63,delivered
O2386,C0196,P025,2,2023-01-02,274.52,pending
O2387,C0136,P004,3,01/15/2023,67.8,delivered
O2388,C0046,P041,4,08-Mar-2023,,SHIPPED
O2389,C0070,P002,5,05-Apr-2023,138.23,pending
O2390,C0196,P027,3,24-Apr-2023,640.95,delivered
O2391,C0122,P025,5,03/01/2023,485.42,Pending
O2392,C0173,P035,2,12-Mar-2023,193.37,shipped
O2393,C0052,P023,4,2023-02-22,,Shipped
O2394,C9999,P011,4,02/15/2023,415.5,Pending
O2395,C0147,P023,4,2023-03-19,537.62,Cancelled
O2396,C0044,P038,4,04/09/2023,43.97,Shipped
O2397,C0061,P029,1,04/24/2023,432.0,Cancelled
O2398,C0132,P011,2,2023-05-18,703.76,Shipped
O2399,C0161,P013,4,26-Apr-2023,441.44,Cancelled
O2400,C0156,P029,2,06-May-2023,436.09,Cancelled
O2401,C9999,P027,4,18-May-2023,28.11,Cancelled
O2402,C0110,P026,4,04/08/2023,58.26,Pending
O2403,C0200,P999,1,2023-02-06,123.47,Cancelled
O2404,C0090,P021,4,03/18/2023,,Shipped
O2405,C0176,P017,1,05/05/2023,618.37,Pending
O2406,C0102,P030,5,20-Apr-2023,620.33,Pending
O2407,C0074,P035,2,20-Jan-2023,39.85,Cancelled
O2408,C0059,P043,5,06/05/2023,208.11,Pending
O2409,C0087,P048,1,05/17/2023,234.02,delivered
O2410,C0193,P003,3,04/13/2023,195.87,shipped
O2411,C0139,P050,5,03-May-2023,,Cancelled
O2412,C0170,P030,4,04/17/2023,687.05,Cancelled
O2413,C0040,P009,4,22-Mar-2023,40.16,Shipped
O2414,C0103,P042,2,06/28/2023,559.45,delivered
O2415,C0100,P025,4,2023-03-18,,delivered
O2416,C0192,P022,2,02/05/2023,320.61,delivered
O2417,C0157,P019,2,2023-04-27,594.09,delivered
O2418,C0050,P035,1,2023-06-11,,Pending
O2419,C0195,P022,2,05/06/2023,281.25,Pending
O2420,C0057,P045,0,18-Jan-2023,689.76,pending
O2421,C9999,P024,5,01-Mar-2023,315.16,SHIPPED
O2422,C0194,P032,3,22-Jan-2023,163.39,delivered
O2423,C0148,P005,4,11-Jun-2023,140.2,shipped
O2424,C0069,P003,4,03/27/2023,266.94,shipped
O2425,C0028,P014,2,2023-05-04,385.93,delivered
O2426,C0110,P029,5,2023-06-26,678.82,SHIPPED
O2427,C9999,P006,4,19-Jun-2023,428.08,pending
O2428,C0144,P004,4,17-May-2023,295.18,delivered
O2429,C0197,P023,3,04/02/2023,731.19,delivered
O2430,C0198,P038,4,16-Feb-2023,230.84,SHIPPED
O2431,C0131,P022,3,03/26/2023,278.23,delivered
O2432,C0183,P040,3,06/14/2023,729.28,Shipped
O2433,C0035,P001,3,2023-02-03,191.36,shipped
O2434,C0165,P008,1,07-May-2023,265.94,Cancelled
O2435,C0109,P036,3,13-Apr-2023,682.39,Pending
O2436,C0184,P032,2,10-Jun-2023,720.11,pending
O2437,C9999,P048,5,2023-03-07,565.91,Pending
O2438,C0056,P012,1,2023-02-20,,delivered
O2439,C0166,P001,1,02/14/2023,,pending
O2440,C0041,P014,1,03-Jun-2023,615.88,pending
O2441,C0046,P012,3,2023-03-16,778.9,pending
O2442,C0040,P037,5,06/15/2023,655.17,Cancelled
O2443,C0142,P016,5,2023-06-16,577.45,Shipped
O2444,C0118,P044,2,2023-01-11,527.76,shipped
O2445,C0040,P037,2,06/14/2023,706.43,Cancelled
O2446,C0150,P005,-1,2023-03-23,718.4,delivered
O2447,C0148,P035,3,24-Apr-2023,106.5,pending
O2448,C0057,P011,1,20-Apr-2023,216.22,Cancelled
O2449,C0030,P012,5,2023-01-06,157.57,SHIPPED
O2450,C0064,P043,5,06/27/2023,577.82,shipped
O2451,C0149,P036,-1,01/05/2023,651.73,pending
O2452,C0187,P047,2,20-Apr-2023,45.13,pending
O2453,C0133,P033,3,22-Mar-2023,557.72,SHIPPED
O2454,C0048,P016,1,2023-01-07,738.81,SHIPPED
O2455,C0078,P016,5,2023-01-12,,shipped
O2456,C0187,P037,1,19-Jun-2023,517.9,SHIPPED
O2457,C0170,P002,3,2023-05-27,590.59,Shipped
O2458,C0148,P027,5,02-Apr-2023,,shipped
O2459,C0188,P010,4,20-Jan-2023,,Cancelled
O2460,C0023,P008,2,2023-01-15,43.06,Cancelled
O2461,C0088,P043,4,2023-06-07,166.38,SHIPPED
O2462,C0147,P013,5,06/26/2023,151.28,delivered
O2463,C0134,P007,0,13-Jun-2023,234.72,Pending
O2464,C0036,P022,3,01-Feb-2023,128.6,shipped
O2465,C0180,P024,4,2023-06-01,62.15,Cancelled
O2466,C0171,P037,5,2023-04-04,,SHIPPED
O2467,C0049,P028,5,2023-02-28,252.49,SHIPPED
O2468,C0020,P999,4,2023-02-16,343.74,Pending
O2469,C0127,P018,1,28-Apr-2023,,Shipped
O2470,C0106,P015,5,2023-03-28,721.88,delivered
O2471,C0176,P041,3,03/13/2023,,Pending
O2472,C0197,P041,3,03/12/2023,303.0,pending
O2473,C0045,P016,2,02-Jan-2023,208.37,Shipped
O2474,C0197,P008,1,2023-04-18,646.82,Shipped
O2475,C0116,P026,4,04-May-2023,417.86,Cancelled
O2476,C0094,P029,1,2023-02-17,566.4,pending
O2477,C0116,P007,2,12-Mar-2023,775.33,SHIPPED
O2478,C0126,P020,1,12-Feb-2023,29.58,delivered
O2479,C0136,P044,4,05/01/2023,401.98,shipped
O2480,C0172,P050,4,2023-04-27,672.28,Shipped
O2481,C0091,P038,2,03/13/2023,,pending
O2482,C0026,P020,1,16-May-2023,,pending
O2483,C9999,P017,3,27-Jan-2023,439.66,Pending
